TextId	Group	Index	Bank	Pointer	StartBit	EndBit	Symbols	Text
0000	00	00	00	8000	0	102	38 12 0F 00 21 0B 11 19 18 00 13 1D 18 6B 1E 00 12 0F 1C 0F 78	The wagon isn't here.
0001	00	01	00	8000	102	183	32 19 1E 00 0F 18 19 1F 11 12 00 31 34 78	Not enough MP.
0002	00	02	00	8000	183	293	49 00 0E 19 0F 1D 18 6B 1E 00 12 0B 20 0F 00 0B 18 00 13 1E 0F 17 78	<49> doesn't have an item.
0003	00	03	00	8000	293	485	49 00 13 1D 00 0D 1F 1C 1D 0F 0E 00 0B 18 0E 00 0D 0B 18 6B 1E 00 0D 12 0B 18 11 0F 00 0F 1B 1F 13 1A 17 0F 18 1E 78	<49> is cursed and can't change equipment.
0004	00	04	00	8000	485	591	26 1F 1E 00 1E 12 0F 1C 0F 6B 1D 00 18 19 00 0F 1D 0D 0B 1A 0F 6E	But there's no escape!
0005	00	05	00	8000	591	649	49 00 0B 1A 1A 0F 0B 1C 1D 78	<49> appears.
0006	00	06	00	8000	649	777	25 00 17 13 1D 1D 6E 43 32 19 00 0E 0B 17 0B 11 0F 00 1E 19 00 49 78	A miss!<43>No damage to <49>.
0007	00	07	00	8000	777	928	25 00 17 13 1D 1D 6E 43 32 19 00 0E 0B 17 0B 11 0F 00 1E 19 00 49 78 43 40	A miss!<43>No damage to <49>.<43><40>
0008	00	08	00	8000	928	1004	49 00 21 0B 1D 00 0E 0F 10 0F 0B 1E 0F 0E 78	<49> was defeated.
0009	00	09	00	8000	1004	1111	38 12 0F 00 10 19 0F 1D 00 21 0F 1C 0F 00 0E 0F 10 0F 0B 1E 0F 0E 78	The foes were defeated.
000A	00	0A	00	8000	1111	1189	49 00 0E 13 1D 0B 1A 1A 0F 0B 1C 0F 0E 78	<49> disappeared.
000B	00	0B	00	8000	1189	1295	38 12 0F 00 10 19 0F 1D 00 0E 13 1D 0B 1A 1A 0F 0B 1C 0F 0E 78	The foes disappeared.
000C	00	0C	00	8000	1295	1454	49 00 11 0B 13 18 1D 00 47 00 29 22 1A 0F 1C 13 0F 18 0D 0F 00 34 19 13 18 1E 4C 78	<49> gains <47> Experience Point<4C>.
